id,barcode,name,type,alert_red,alert_yellow,alert_green,active_flag,created_by,created_date,modified_by,modified_date,code,alert_blue
GU297ebd1f601aee4801601b01987301,,HAAN ICING SUGAR 425 GR,8a80cb815fac8935015fac8cd0ba0000,0,30,180,1,null,2017-12-03 13:13:59,null,2017-12-03 13:13:59,BGU_HA01,0
GU297ebd1f601aee4801601b01987302,,EDNA GULA PALEM 250 GR,8a80cb815fac8935015fac8cd0ba0000,0,30,180,1,null,2017-12-03 13:13:59,null,2017-12-03 13:13:59,BGU_ED01,0
GU297ebd1f601aee4801601b01987303,,ROSE BRAND GULA CAIR 500 GR,8a80cb815fac8935015fac8cd0ba0000,0,30,180,1,null,2017-12-03 13:13:59,null,2017-12-03 13:13:59,BGU_RB01,0
GU297ebd1f601aee4801601b01987304,,ROSE BRAND GULA KRISTAL PUTIH 1 KG,8a80cb815fac8935015fac8cd0ba0000,0,30,180,1,null,2017-12-03 13:13:59,null,2017-12-03 13:13:59,BGU_RB02,0
GU297ebd1f601aee4801601b01987305,,GULAKU PREMIUM 1 KG,8a80cb815fac8935015fac8cd0ba0000,0,30,180,1,null,2017-12-03 13:13:59,null,2017-12-03 13:13:59,BGU_GL01,0
